STATE,COUNTYNAME,shapefile_latitude,shapefile_longitude,nc_latitude,nc_longitude,population_projection_2020
WI,Oneida,45.705626112480076,-89.52170818390893,45.68750000025,-89.56249999990001,2042.0
WI,Outagamie,44.416124604580844,-88.46492949486984,44.43750000025,-88.43749999990001,5041.0
WI,Pepin,44.58290489088709,-92.00165603353481,44.56250000025,-92.06249999990001,1156.0
WI,Waupaca,44.470394830007315,-88.96481700275679,44.43750000025,-88.93749999990001,2772.0
WI,Waukesha,43.01811734024636,-88.30454149597928,43.06250000025,-88.31249999990001,0.0
WI,Washburn,45.89925931022365,-91.79123404118367,45.93750000025,-91.81249999990001,745.0
WI,Walworth,42.66847781424602,-88.54190437591654,42.68750000025,-88.56249999990001,2152.0
WI,Vilas,46.052899460913004,-89.51476970976071,46.06250000025,-89.56249999990001,360.0
WI,Vernon,43.59385972255542,-90.83436186326715,43.56250000025,-90.81249999990001,2099.0
WI,Trempealeau,44.30396363196556,-91.3584695017094,44.31250000025,-91.31249999990001,2164.0
WI,Taylor,45.211547088470574,-90.50122766257512,45.18750000025,-90.56249999990001,1405.0
WI,Shawano,44.789163858817176,-88.7656429117283,44.81250000025,-88.81249999990001,1619.0
WI,Sawyer,45.8799615086251,-91.14468547675105,45.93750000025,-91.18749999990001,996.0
WI,Sauk,43.4268343872992,-89.94836154913938,43.43750000025,-89.93749999990001,3155.0
WI,St. Croix,45.03403207268267,-92.45279349640545,45.06250000025,-92.43749999990001,2453.0
WI,Rusk,45.475134340703946,-91.13314298200311,45.43750000025,-91.18749999990001,1110.0
WI,Rock,42.67124594978829,-89.07156707765955,42.68750000025,-89.06249999990001,0.0
WI,Richland,43.3756164290198,-90.42948635800573,43.43750000025,-90.43749999990001,1166.0
WI,Price,45.68038540894658,-90.36138052044026,45.68750000025,-90.31249999990001,1210.0
WI,Portage,44.47603723581705,-89.50148051089467,44.43750000025,-89.56249999990001,770.0
WI,Polk,45.46142914239333,-92.44140277807105,45.43750000025,-92.43749999990001,3136.0
WI,Pierce,44.71958246315039,-92.42245732801331,44.68750000025,-92.43749999990001,3512.0
WI,Winnebago,44.068888523235394,-88.644578856639,44.06250000025,-88.68749999990001,4376.0
WI,Wood,44.45531102749215,-90.04164781565305,44.43750000025,-90.06249999990001,1223.0
WI,Kenosha,42.576748468237504,-88.04184830101164,42.56250000025,-88.06249999990001,451.0
WI,Washington,43.368399060975584,-88.23083051024808,43.31250000025,-88.18749999990001,0.0
IL,Lake,42.323133295280634,-88.00359181615352,42.31250000025,-88.06249999990001,0.0
IL,Cook,41.83992992734949,-87.81666347867703,41.81250000025,-87.81249999990001,0.0
WI,Manitowoc,44.11976259342975,-87.80958658789572,44.06250000025,-87.81249999990001,3719.0
WI,Brown,44.45373223840401,-88.00318284564992,44.43750000025,-88.06249999990001,0.0
WI,Door,44.94357925834828,-87.31729289638132,44.93750000025,-87.31249999990001,828.0
WI,Kewaunee,44.516139426349625,-87.61539058788335,44.56250000025,-87.56249999990001,2216.0
MN,Clay,46.8923938669937,-96.49062865187271,46.93750000025,-96.43749999990001,915.0
MN,Koochiching,48.24531967905296,-93.78342120641264,48.18750000025,-93.81249999990001,63.0
MN,Lake,47.64201768441893,-91.44524665821163,47.68750000025,-91.43749999990001,27.0
MN,Cook,47.90267740570024,-90.534395518246,47.93750000025,-90.56249999990001,106.0
MN,Cass,46.949599033745486,-94.32534963500456,46.93750000025,-94.31249999990001,866.0
MN,Aitkin,46.60825065230473,-93.41542707116939,46.56250000025,-93.43749999990001,353.0
MN,Itasca,47.5095298018298,-93.63201984087944,47.56250000025,-93.68749999990001,556.0
MN,Otter Tail,46.40877546787821,-95.70789713273753,46.43750000025,-95.68749999990001,1022.0
MN,Becker,46.93462960890579,-95.67382093310651,46.93750000025,-95.68749999990001,1320.0
MN,Clearwater,47.57764939446679,-95.37903970630073,47.56250000025,-95.43749999990001,1716.0
MN,Polk,47.77384932129667,-96.40180927201851,47.81250000025,-96.43749999990001,575.0
MN,Marshall,48.358114206760355,-96.36852794062004,48.31250000025,-96.31249999990001,282.0
WI,Douglas,46.430949722690805,-91.91466922200942,46.43750000025,-91.93749999990001,819.0
WI,Iron,46.26226829153139,-90.2420448588368,46.31250000025,-90.18749999990001,308.0
WI,Bayfield,46.52409262469723,-91.20055038445302,46.56250000025,-91.18749999990001,535.0
WI,Ashland,46.31483861665573,-90.67805525916977,46.31250000025,-90.68749999990001,518.0
WI,Marinette,45.38303820216952,-88.03437627253926,45.43750000025,-88.06249999990001,774.0
WI,Oconto,45.02548669165974,-88.26764782548925,45.06250000025,-88.31249999990001,1244.0
WI,Ozaukee,43.38382174454165,-87.95152480572922,43.43750000025,-87.93749999990001,2238.0
MN,Wilkin,46.357075712286424,-96.46831074807818,46.31250000025,-96.43749999990001,248.0
WI,Sheboygan,43.72120027235692,-87.94542517110312,43.68750000025,-87.93749999990001,3225.0
FL,DeSoto,27.1863186384567,-81.80933268531437,27.187500000249997,-81.81249999990001,1242.0
FL,St. Lucie,27.376427688873278,-80.483631704277,27.437500000249997,-80.43749999990001,111.0
